directory_category,directory_contact__email,directory_contact__fax,directory_contact__mobile,directory_contact__phone,directory_contact__website,content_body,directory_location__street,directory_location__city,directory_location__country,directory_location__address,directory_location__lat,directory_location__lng,directory_location__zip,directory_location__state,content_post_title,directory_social__facebook,content_post_status,field_contact_name
community-farm,walickila@mycs.org,,,412.675.8556,http://www.angoragardens.com,,3 Muse Lane,White Oak,US,"3 Muse Lane,  White Oak, PA 15131",40.342338,-79.788348,15131,Pennsylvania,Angora Gardens,,published,Lynne Walicki
other,mattnedludd@gmail.com,,,,,"",301 West Elizabeth Street,Pittsburgh,,"301 West Elizabeth Street, Pittsburgh, PA 15207",40.406546,-79.945442,15207,PA,Everybody's Garden,,published,"Matt Peters, Chair, Hazelwood Urban Ag Team"
other,mattnedludd@gmail.com,,,,,"",Johnston Avenue at Roselle Drive,Pittsburgh,,"Johnston Avenue at Roselle Drive, Pittsburgh, PA 15207",40.40604,-79.931253,15207,PA,Glen Hazel Communiuty Garden,,published,Matt Peters
grow-pittsburgh-site,info@growpittsburgh.org,,,412 362 GROW (4769),http://www.growpittsburgh.org/,"",6587 Hamilton Avenue #2W,Pittsburgh,,"6587 Hamilton Avenue #2W,  Pittsburgh, PA 15206",40.458481,-79.911381,15206,PA,Grow Pittsburgh,,published,
other,lvgarden@yahoo.com,,,412 427 8814,,"",Allegheny Cemetery 4734 Butler Street, Pittsburgh,,"Allegheny Cemetery 4734 Butler Street,  Pittsburgh, PA 15201",40.477158,-79.956114,15201,PA,Lawrenceville Organic Community Garden,,published,Deirdre Kane
other,mumingarden@gmail.com,,,412 363 1237,,"",159 Winslow Street,Pittsburgh,,"159 Winslow Street, Pittsburgh, PA 15206",40.46445,-79.911651,15206,PA,Masjid al Mu'min Madinah Garden,,published,Samirah Abdul Wahhaab
other,southoaklandpgh@gmail.com,,,,http://southoaklandpgh.org/,"",3213 Parkview Avenue,Pittsburgh,,"3213 Parkview Avenue,  Pittsburgh, PA 15213",40.429834,-79.953578,15213,PA,South Oakland Community Orchard,,published,Mark Oleniacz
other,,,,,http://www.ymcapgh.org,"",2114 Centre Avenue,Pittsburgh,,"2114 Centre Avenue, Pittsburgh, PA 15219",40.444369,-79.978126,15219,PA,Thelma Lovette YMCA Garden,,published,
other,feedthepeople@googlegroups.com,,,412 681 1950,http://phcapgh.org/,"",Near 3026 Wiggins Street,Pittsburgh,,"Near 3026 Wiggins Street, Pittsburgh, PA 15219",40.457618,-79.969499,15219,PA,Wiggins Garden,,published,https://groups.google.com/d/forum/feedthepeople
community-farm,fordda@live.com,,,412.523.8019,https://www.facebook.com/pg/theSamuelandAnnaMaeRichardsonCommunityGarden/,"",5427 Willow Street,Bethel Park,US,5427 Willow Street Bethel Park PA 15102,40.323229,-80.0405,15102,Pennsylvania,The Samuel and Anna Mae Richardson Community Garden,,published,Diane Ford
