file_name|id|source_org|source_file|original_id|type|name|address|city|state|zip_code|county|location_description|phone|url|latitude|longitude|latlng_source|date_from|date_to|open_to_spec_group|data_issues|food_bucks|snap|wic|fmnp|fresh_produce|free_distribution|food_rx|group_id|merged_record|timestamp|in_error|active_record
Just Harvest Google Sheets|0|Just Harvest|Just Harvest Google Sheets||other|Veggie House|310 17th Street|New Kensington|PA|15068|Allegheny|Arnold<br />Fresh produce available<br />Urban farm|||40.577324|-79.769711|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|1|Just Harvest|Just Harvest Google Sheets||other|Caffe Barista|7 W. Otterman St|Greensburg|PA|15601|Allegheny|Greensburg<br />Healthy food available<br />Coffee shop|||40.303541|-79.544951|MapBox GeoCode|||||False|False|False|False|False|False|False||False||False|True
Just Harvest Google Sheets|2|Just Harvest|Just Harvest Google Sheets||other|IFAA|1510 Oakdene St|Pittsburgh|PA|15206|Allegheny|Lincoln Lemington<br />fresh produce available<br />Urban farm|||40.465825|-79.890676|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|3|Just Harvest|Just Harvest Google Sheets||other|North Side Partnership Project |2610 Maple Ave|Pittsburgh|PA|15214|Allegheny|Perry Hilltop<br />Healthy food available<br />community center with some pantry services (might have only offered pantry services during pandemic)|||40.471779|-80.007779|MapBox GeoCode|||||False|False|False|False|False|False|False||False||False|True
Just Harvest Google Sheets|4|Just Harvest|Just Harvest Google Sheets||other|Reed and Co |4113 Butler St|Pittsburgh|PA|15201|Allegheny|Lawrenceville<br />healthy food available<br />Restaurant|||40.469935|-79.961156|MapBox GeoCode|||||False|False|False|False|False|False|False||False||False|True
Just Harvest Google Sheets|5|Just Harvest|Just Harvest Google Sheets||other|Scratch F&B |1720 Lowrie St|Pittsburgh|PA|15212|Allegheny|Troy Hill<br />healthy food available<br />restaurant|||40.4645|-79.982343|MapBox GeoCode|||||False|False|False|False|False|False|False||False||False|True
Just Harvest Google Sheets|6|Just Harvest|Just Harvest Google Sheets||other|United Somali Bantu of Greater Pittsburgh|2200 N Charles St|Pittsburgh|PA|15214|Allegheny|Perry Hilltop<br />Fresh produce available<br />Urban farm|||40.463078|-80.01961|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|7|Just Harvest|Just Harvest Google Sheets||other|Bible Center - Oasis Project|717 N Homewood Ave|Pittsburgh|PA|15208|Allegheny|Homewood<br />fresh produce available<br />urban farm, food services|||40.45624|-79.897035|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|8|Just Harvest|Just Harvest Google Sheets||other|412 Food Rescue Inc.|112 E Sherman St|Pittsburgh|PA|15209|Allegheny|Millvale<br />healthy food available<br />food services|||40.479762|-79.971353|MapBox GeoCode|||||False|False|False|False|False|False|False||False||False|True
Just Harvest Google Sheets|9|Just Harvest|Just Harvest Google Sheets||other|BUGS|7013 Monticello|Pittsburgh|PA|15208|Allegheny|Homewood<br />fresh produce available<br />urban farm|||40.460485|-79.89974|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|10|Just Harvest|Just Harvest Google Sheets||other|#ATU Athletic Trauma Unit|346 Cline St|East Pittsburgh|PA|15112|Allegheny|Multiple<br />healthy food available<br />healthy food truck|||40.41531|-79.83534|MapBox GeoCode|||||False|False|False|False|False|False|False||False||False|True
Just Harvest Google Sheets|11|Just Harvest|Just Harvest Google Sheets||other|Knead Community Café|1011 Barnes St|New Kensington|PA|15068|Allegheny|New Kensington<br />healthy food available<br />cafe, nonprofit|||40.56715|-79.765199|MapBox GeoCode|||||False|False|False|False|False|False|False||False||False|True
Just Harvest Google Sheets|12|Just Harvest|Just Harvest Google Sheets||other|Churchview Farm|3897 Churchview Ave Ext|Pittsburgh|PA|15236|Allegheny|New Homestead<br />fresh produce available<br />farm|||40.383725|-79.936073|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|13|Just Harvest|Just Harvest Google Sheets||other|Gluten Free Goat||Pittsburgh|PA||Allegheny|Unknown<br />healthy food available<br />wholesale bakery|||40.463101|-79.7045733928572|MapBox GeoCode||||$.zip_code is invalid: '' should be non-empty|False|False|False|False|False|False|False||False||True|True
