file_name|id|source_org|source_file|original_id|type|name|address|city|state|zip_code|county|location_description|phone|url|latitude|longitude|latlng_source|date_from|date_to|open_to_spec_group|data_issues|food_bucks|snap|wic|fmnp|fresh_produce|free_distribution|food_rx|group_id|merged_record|timestamp|in_error|active_record
Just Harvest Google Sheets|0|Just Harvest|Just Harvest Google Sheets||farmer's market|Beechview Farmers Market|1563 Beechview Ave|Pittsburgh|PA|15216|Allegheny|June 20th-September 12th<br/>Thursday 3pm-7pm|||40.411143|-80.02467|MapBox GeoCode|June 20th|September 12th|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|1|Just Harvest|Just Harvest Google Sheets||farmer's market|Belllevue Farmers Market|34 N Balph Ave|Bellevue|PA|15202|Allegheny|June 5th-October 30th<br/>Wednesdays 3pm-7pm|||40.496515|-80.054302|MapBox GeoCode|June 5th|October 30th|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|2|Just Harvest|Just Harvest Google Sheets||supermarket|Bloomfield Saturday Market|5050 Liberty Ave|Pittsburgh|PA|15224|Allegheny|May 18th-November 2nd<br/>Saturdays 9am-1pm|||40.458861|-79.944537|MapBox GeoCode|May 18th|November 2nd|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|3|Just Harvest|Just Harvest Google Sheets||farmer's market|Carrick Farmers Market|1529 Brownsville Road|Pittsburgh|PA|15210|Allegheny|June 19th-November 27th<br/>Wednesdays 3pm-7pm|||40.40002|-79.98867|MapBox GeoCode|June 19th|November 27th|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|4|Just Harvest|Just Harvest Google Sheets||farmer's market|East Liberty Farmers Market|Broad St and Station St|Pittsburgh|PA|15206|Allegheny|May 13th-November 25th<br/>Mondays 3pm-7pm|||40.460509|-79.91866|MapBox GeoCode|May 13th|November 25th|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|5|Just Harvest|Just Harvest Google Sheets||other|Garfield Farm Stand|Wiclow St and Columbo St|Pittsburgh|PA|15224|Allegheny|June 5th-September 25th<br/>Wednesdays 3pm-7:30pm|||40.468793|-79.934993|MapBox GeoCode|June 5th|September 25th|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|6|Just Harvest|Just Harvest Google Sheets||farmer's market|Green Tree Farmers Market|905 Greentree Road|Pittsburgh|PA|15220|Allegheny|May 23rd-October 31st<br/>Thursdays 4pm-7pm|||40.42261|-80.044627|MapBox GeoCode|May 23rd|October 31st|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|7|Just Harvest|Just Harvest Google Sheets||farmer's market|Homewood Farmers Market|7139 Fransktown Ave|Pittsburgh|PA|15208|Allegheny|July 27th-October 26th<br/>Last Saturdays 3pm-7pm|||40.457474|-79.896602|MapBox GeoCode|July 27th|October 26th|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|8|Just Harvest|Just Harvest Google Sheets||farmer's market|Homewood Farmers Market|7139 Fransktown Ave|Pittsburgh|PA|15208|Allegheny|July 3rd-July 31st<br/>Wednedays 3pm-5:30pm|||40.457474|-79.896602|MapBox GeoCode|July 3rd|July 31st|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|9|Just Harvest|Just Harvest Google Sheets||farmer's market|Larimer Farmers Market|Larimer Ave and Carver St|Pittsburgh|PA||Allegheny|June 23rd-November 24th<br/>4th Sundays 3pm-7pm|||40.464813|-79.915266|MapBox GeoCode|June 23rd|November 24th||$.zip_code is invalid: '' should be non-empty|True|True|True|True|True|False|False||False||True|True
Just Harvest Google Sheets|10|Just Harvest|Just Harvest Google Sheets||farmer's market|Lawrenceville Farmers Market|40th St and Butler St|Pittsburgh|PA|15201|Allegheny|June 4th-October 29tth<br/>Tuesdays 4pm-7pm|||40.468726|-79.9623|MapBox GeoCode|June 4th|October 29tth|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|11|Just Harvest|Just Harvest Google Sheets||farmer's market|Market Square Farmers Market|Forbes Ave and Market St|Pittsburgh|PA|15222|Allegheny|May 16th-October 31st<br/>Thursdays 10am-2pm|||0|0|MapBox GeoCode|May 16th|October 31st|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|12|Just Harvest|Just Harvest Google Sheets||farmer's market|Mellon Square Farmers Market|Smithfield St and Sixth Ave|Pittsburgh|PA|15222|Allegheny|May 10th-October 25th<br/>Fridays 10:30am-1:30pm|||40.441458|-79.997738|MapBox GeoCode|May 10th|October 25th|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|13|Just Harvest|Just Harvest Google Sheets||farmer's market|Moon Township Farmers Market|1000 Beaver Grade Road|Moon|PA|15108|Allegheny|June 5th-September 25th<br/>Wednesdays 3pm-6pm|||40.50394|-80.20704|MapBox GeoCode|June 5th|September 25th|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|14|Just Harvest|Just Harvest Google Sheets||farmer's market|North Side Farmers Market|East Ohio St and Cedar Ave|Pittsburgh|PA|15101|Allegheny|May 17th-November 22nd<br/>Fridays 3pm-7pm|||40.453306|-80.001686|MapBox GeoCode|May 17th|November 22nd|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|15|Just Harvest|Just Harvest Google Sheets||farmer's market|Peters Township Farmers Market|905 East McMurray Rd|Venetia|PA|15367|Allegheny|May 22nd-September 25th<br/>Wednesdays 3pm-7pm|||40.296356|-80.074208|MapBox GeoCode|May 22nd|September 25th|||True|True|True|True|True|False|False||False||False|True
Just Harvest Google Sheets|16|Just Harvest|Just Harvest Google Sheets||farmer's market|South Side Farmers Market|18th St and Carson St|Pittsburgh|PA|15203|Allegheny|May 14th-November 26th<br/>Tuesdays 3pm-7pm|||0|0|MapBox GeoCode|May 14th|November 26th|||True|True|True|True|True|False|False||False||False|True
